61;ASESORIAS DE TRANSITO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 11 No 2-10;8601542
62;ASESORIAS FRANKY FLOREZ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 2 B 9 - 95;8600245
63;ASESORIAS JV;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 2B No 10-39;8602243
64;ASOCIACION CABLETEL LA CALERA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 9 No. 2B-27;3132914276- 8602589
65;ASOCIACIÓN DELISOY CALERA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;UMATA  LA CALERA;8600712
66;ASOCIACION LA CIMA CLUB GOLF;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA SAN RAFAEL;
67;ASOCIACION RADIODIFUSORA AMIGOS DE LA CALERA;TELECOMUNICACIONES;61;TELECOMUNICACIONES;KM 1 VIA MUNDO NUEVO ;8604157
68;ASOCIACION USUARIOS ACUEDUCTO RURAL EL SALITRE AUAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA EL SALITRE ;8601143
69;ATARDECER LLANERO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No 11-00;
70;ATECO SAS ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 2 B No. 2-59;8752071
71;AUTENTICO CHICKEN BROASTER;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No 8-04;8603678
72;AUTENTICO SABROSON BROASTER Y ASADO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No 8-06;8603324
73;AUTOSERVICIO CLAVIJO;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;AV 2 No 11-00;3134957631
74;AUTOSERVICIO EL PROVEEDOR;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;CRA 4 No 7-11;8600208
75;AUTOSERVICIO RINCON DEL HATO;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;KM 7 VIA LA CALERA;8608052
76;AUTOTAPICERIA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;LA PORTADA;8602735
77;AVICOLA EL TRIUNFO;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;EL RODEO;8603130
78;BABABU;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 9 No. 3 - 03 ESQUINA;8752374
79;BALCON DEL TEUSACA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;KM 9 VIA LA CALERA;8609428
80;BANCAMIA;ENTIDAD BANCARIA;64;ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y DE PENSIONES;CARRERA 2 No. 5 - 45 ;
81;BANCO  AV VILLAS;ENTIDAD BANCARIA;64;ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y DE PENSIONES;OFICINA LA CALERA;8604464-8600465
82;BANCO AGRARIO;ENTIDAD BANCARIA;64;ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y DE PENSIONES;OFICINA LA CALERA;8600023
83;BANCO DAVIVIENDA;ENTIDAD BANCARIA;64;ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y DE PENSIONES;OFICINA LA CALERA;8751892
84;BANCO DE BOGOTA;ENTIDAD BANCARIA;64;ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y DE PENSIONES;OFICINA LA CALERA;8600020
85;BANCOLOMBIA;ENTIDAD BANCARIA;64;ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y DE PENSIONES;OFICINA LA CALERA;8600707
86;BAR BLACK AND WITHE;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2B No 7-07;8600312
87;BARDOS CAFÉ BAR;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CARRERA 3 NO. 3-65;3014272253
88;BASF CONSTRUCTION CHEMICALS COLOMBIA S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRETERA SANTA HELENA VIA A SIBERIA LA CALERA;8600541
89;BELLA VISTA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;LA HOYA;8605897
90;BILLARES MIXTOS;BILLARES;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;K 4 No 6-11 piso 2;8600203
91;BIZCOCHERIA EL REMO;ELABORACIÓN DE PRODUCTOS DE PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;C 6 No 6-03;8601455
92;BOCADOS AH;CAFETERÍA;47;COMERCIO AL POR MENOR;K 4 No 6-09;8601396
93;BODEGA  MATERIALES DE SEGUNDA;BODEGA;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;AK 2 No. 8 - 47 APTO 302;3167285906
94;BODEGA DEL MUEBLE;BODEGA;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;K 3 No 8-21;8601114
95;BODEGAS SAN JOSE;BODEGA;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;CRA 4 No. 7-85;8600214
96;BODY HEALTH STUDY;GIMNACIO;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;CALLE 9 No. 2-24 APTO 202;3115608471
97;BOUTIQUE  SPA HOME;SPA;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;CENTRO COMERCIAL EL PARAISO;7758312
